Side,Sub_ID,Ultimate_Clearing_Firm,Entering_Firm_Col1,EXCH,TRANS_TYPE,RPT_TYP,TRD_SUB_TYPE,PREVLY_RPTD,Total_Quantity
1,C,,00005,BATO,0,2,,N,4604
1,C,,00005,BATO,0,2,0,N,313
1,C,,00005,C2OX,0,2,,N,2386
1,C,,00005,C2OX,0,2,0,N,53
1,C,,00005,EDGO,0,2,,N,3003
1,C,,00005,EDGO,0,2,0,N,23
1,C,,00005,EMLD,0,2,,N,12
1,C,,00005,EMLD,0,2,0,N,6
1,C,,00005,GMNI,0,2,,N,2123
1,C,,00005,GMNI,0,2,0,N,13
1,C,,00005,MPRL,0,2,,N,7033
1,C,,00005,MPRL,0,2,0,N,884
1,C,,00005,MXOP,0,2,,N,251
1,C,,00005,XASE,0,2,,N,4052
1,C,,00005,XASE,0,2,0,N,7
1,C,,00005,XBOX,0,2,,N,33099
1,C,,00005,XBOX,0,2,0,N,20
1,C,,00005,XBOX,1,2,,N,12000
1,C,,00005,XBXO,0,2,,N,2127
1,C,,00005,XBXO,0,2,0,N,21
1,C,,00005,XCBO,0,2,,N,43804
1,C,,00005,XCBO,0,2,0,N,4996
1,C,,00005,XCBO,1,2,,N,418
1,C,,00005,XISX,0,2,,N,5841
1,C,,00005,XISX,0,2,0,N,842
1,C,,00005,XMIO,0,2,,N,3706
1,C,,00005,XMIO,0,2,0,N,16
1,C,,00005,XNDQ,0,2,,N,4655
1,C,,00005,XNDQ,0,2,0,N,83
1,C,,00005,XPHO,0,2,,N,8227
1,C,,00005,XPHO,0,2,0,N,83
1,C,,00005,XPHO,1,2,,N,2600
1,C,,00005,XPSE,0,2,,N,15112
1,C,,00005,XPSE,0,2,0,N,1047
1,C,,00010,BATO,0,2,,N,587
1,C,,00010,C2OX,0,2,,N,256
1,C,,00010,EDGO,0,2,,N,237
1,C,,00010,EDGO,0,2,0,N,5
1,C,,00010,GMNI,0,2,,N,280
1,C,,00010,MCRY,0,2,,N,1
1,C,,00010,MPRL,0,2,,N,202
1,C,,00010,MPRL,0,2,0,N,1
1,C,,00010,MXOP,0,2,,N,11
1,C,,00010,XASE,0,2,,N,32596
1,C,,00010,XASE,1,2,,N,18050
1,C,,00010,XBOX,0,2,,N,200794
1,C,,00010,XBOX,1,2,,N,160000
1,C,,00010,XBXO,0,2,,N,195
1,C,,00010,XCBO,0,2,,N,27221
1,C,,00010,XCBO,1,2,,N,16266
1,C,,00010,XISX,0,2,,N,441
1,C,,00010,XMIO,0,2,,N,62
1,C,,00010,XMIO,0,2,0,N,1
1,C,,00010,XNDQ,0,2,,N,179
1,C,,00010,XNDQ,0,2,0,N,4
1,C,,00010,XPHO,0,2,,N,5784
1,C,,00010,XPHO,0,2,0,N,1
1,C,,00010,XPHO,1,2,,N,2800
1,C,,00010,XPSE,0,2,,N,11528
1,C,,00010,XPSE,0,2,0,N,1308
1,C,,00010,XPSE,0,8,,N,2250
1,C,,00010,XPSE,1,2,,N,4000
