Side,Sub_ID,Ultimate_Clearing_Firm,Entering_Firm_Col1,EXCH,TRANS_TYPE,RPT_TYP,TRD_SUB_TYPE,PREVLY_RPTD,Total_Quantity
1,C,,00005,BATO,0,2,,N,15182
1,C,,00005,BATO,0,2,0,N,782
1,C,,00005,C2OX,0,2,,N,3926
1,C,,00005,C2OX,0,2,0,N,116
1,C,,00005,EDGO,0,2,,N,4382
1,C,,00005,EDGO,0,2,0,N,74
1,C,,00005,EMLD,0,2,,N,3
1,C,,00005,GMNI,0,2,,N,1660
1,C,,00005,GMNI,0,2,0,N,41
1,C,,00005,MCRY,0,2,,N,14
1,C,,00005,MCRY,0,2,0,N,4
1,C,,00005,MPRL,0,2,,N,9209
1,C,,00005,MPRL,0,2,0,N,1680
1,C,,00005,MXOP,0,2,,N,824
1,C,,00005,MXOP,0,2,0,N,1
1,C,,00005,XASE,0,2,,N,8900
1,C,,00005,XASE,0,2,0,N,36
1,C,,00005,XASE,1,2,,N,1750
1,C,,00005,XBOX,0,2,,N,27750
1,C,,00005,XBOX,0,2,0,N,36
1,C,,00005,XBOX,0,9,,N,7200
1,C,,00005,XBOX,1,2,,N,18000
1,C,,00005,XBOX,1,9,,N,7200
1,C,,00005,XBXO,0,2,,N,3066
1,C,,00005,XBXO,0,2,0,N,166
1,C,,00005,XCBO,0,2,,N,42497
1,C,,00005,XCBO,0,2,0,N,4422
1,C,,00005,XCBO,1,2,,N,678
1,C,,00005,XISX,0,2,,N,9492
1,C,,00005,XISX,0,2,0,N,337
1,C,,00005,XMIO,0,2,,N,2943
1,C,,00005,XMIO,0,2,0,N,108
1,C,,00005,XNDQ,0,2,,N,8626
1,C,,00005,XNDQ,0,2,0,N,381
1,C,,00005,XPHO,0,2,,N,39558
1,C,,00005,XPHO,0,2,0,N,68
1,C,,00005,XPHO,1,2,,N,18011
1,C,,00005,XPSE,0,2,,N,15723
1,C,,00005,XPSE,0,2,0,N,852
1,C,,00007,XCBO,0,2,,N,400
1,C,,00007,XCBO,1,2,,N,400
1,C,,00010,BATO,0,2,,N,1229
1,C,,00010,C2OX,0,2,,N,969
1,C,,00010,C2OX,0,2,0,N,151
1,C,,00010,EDGO,0,2,,N,986
1,C,,00010,EDGO,0,2,0,N,830
1,C,,00010,GMNI,0,2,,N,97
1,C,,00010,MCRY,0,2,,N,9
1,C,,00010,MPRL,0,2,,N,473
1,C,,00010,MPRL,0,2,0,N,306
1,C,,00010,MXOP,0,2,,N,57
1,C,,00010,XASE,0,2,,N,8261
1,C,,00010,XASE,1,2,,N,4810
1,C,,00010,XBOX,0,2,,N,432
1,C,,00010,XBXO,0,2,,N,528
1,C,,00010,XCBO,0,2,,N,12818
1,C,,00010,XCBO,0,2,0,N,5304
1,C,,00010,XISX,0,2,,N,5241
1,C,,00010,XISX,1,2,,N,2249
1,C,,00010,XMIO,0,2,,N,543
1,C,,00010,XMIO,0,2,0,N,104
1,C,,00010,XNDQ,0,2,,N,32
1,C,,00010,XPHO,0,2,,N,8818
1,C,,00010,XPHO,0,8,,N,188
1,C,,00010,XPHO,1,2,,N,3838
1,C,,00010,XPHO,1,8,,N,188
1,C,,00010,XPSE,0,2,,N,23708
1,C,,00010,XPSE,0,2,0,N,350
1,C,,00010,XPSE,0,8,,N,3500
1,C,,00010,XPSE,1,2,,N,11500
1,C,,00010,XPSE,1,8,,N,3500
1,C,,00017,XBOX,0,2,,N,1038
1,C,,00017,XBOX,0,2,0,N,1031
1,C,,00019,BATO,0,2,,N,27
1,C,,00019,C2OX,0,2,,N,627
1,C,,00019,EDGO,0,2,,N,438
1,C,,00019,EDGO,0,2,0,N,4
1,C,,00019,EMLD,0,2,,N,34
1,C,,00019,GMNI,0,2,,N,171
1,C,,00019,MCRY,0,2,,N,67
1,C,,00019,MPRL,0,2,,N,240
1,C,,00019,XASE,0,2,,N,755
1,C,,00019,XASE,1,2,,N,300
1,C,,00019,XBOX,0,2,,N,101008
1,C,,00019,XBOX,1,2,,N,75480
1,C,,00019,XBXO,0,2,,N,15
1,C,,00019,XCBO,0,2,,N,9144
1,C,,00019,XCBO,0,2,0,N,1581
1,C,,00019,XCBO,1,2,,N,1616
1,C,,00019,XISX,0,2,,N,363
1,C,,00019,XISX,0,2,0,N,63
1,C,,00019,XMIO,0,2,,N,510
1,C,,00019,XMIO,0,2,0,N,113
